file	name	version	category	bytes
BetterQuesting-3.0.328.jar	Better Questing	3.0.328	Quests & Progression	1350443
LevelUp.jar	Level Up!		Quests & Progression	64039
LootBags-1.7.10-2.0.17.jar	Loot Bags	2.0.17	Quests & Progression	186439
questbook-3.0.0-1.7.10.jar	Quest Book	3.0.0	Quests & Progression	17253
QuestForgeContent-1.0.0.jar	QuestForge Content	1.0.0	Quests & Progression	2544874
StandardExpansion-3.0.181.jar	Standard Expansion	3.0.181	Quests & Progression	386722
HardcoreEnderExpansionMCv.jar	Hardcore Ender Expansion	1.8.6	New Dimensions	4338973
TwilightForest-2.4.3.jar	The Twilight Forest	2.4.3	New Dimensions	3675470
WelcomeToTheJungle.jar	Welcome to the Jungle	1.7.10-1.0.9	New Dimensions	8201596
chocolateQuest-1.7.10-1.1d.jar	Chocolate Quest	1.7.10-1.1d	Dungeons & Worldgen	3257127
DoomlikeDungeons-1.11.0.1-MC1.7.10.jar	Doomlike Dungeons	1.11.0	Dungeons & Worldgen	677257
RecurrentComplex.jar	Recurrent Complex	0.9.7.1.1	Dungeons & Worldgen	4508578
roguelike-1.7.10-1.5.0b.jar	Roguelike Dungeons	1.5.0	Dungeons & Worldgen	593789
ColorfulMobsMC.jar	Colorful Mobs		Creatures & Bosses	113836
CustomNpcs.jar	Custom NPCs	1.7.10	Creatures & Bosses	8822770
InfernalMobs-1.7.10.jar	Infernal Mobs		Creatures & Bosses	163963
JustAnotherSpawner-0.17.8.jar	Just Another Spawner	0.17.8	Creatures & Bosses	2055822
KillerPacman.jar	Killer Pacman		Creatures & Bosses	129531
LuckyEgg.jar	Lucky Egg	1.2.1	Creatures & Bosses	15275
LycanitesMobsComplete 1.13.0.5 [1.7.10].jar	Lycanites Mobs	1.13.0.5	Creatures & Bosses	40829039
MobProperties.jar	Mob Properties	1.7.10-0.4.0	Creatures & Bosses	130576
MutantCreatures.jar	Mutant Creatures	1.7.10-1.4.8	Creatures & Bosses	1138360
orespawn.zip	OreSpawn	1.7.10-20.2	Creatures & Bosses	17541969
TragicMC.jar	TragicMC 2	2.46.2879	Creatures & Bosses	110536371
AdventureBackpack.jar	Adventure Backpack	1.7.10-0.8b	Combat & Gear	3419222
Baubles.jar	Baubles	1.7.10-1.0.1.10	Combat & Gear	95415
DamageIndicators.jar	Damage Indicators	3.2.3	Combat & Gear	638574
MineBladeBattlegearBullseye.jar	Mine & Blade: Battlegear 2	1.0.8.0	Combat & Gear	1086845
MobAmputation-4.0.1.jar	Mob Amputation	4.0.1	Combat & Gear	34449
MobDismemberment-4.0.0.jar	Mob Dismemberment	4.0.0	Combat & Gear	23096
SoulShardsTheOldWays.jar	Soul Shards: The Old Ways	RC9	Combat & Gear	174943
LuckyBlocks.jar	Lucky Blocks	5.1.0	Magic & the Arcane	86815
