Enchantment registry audit
Total ID slots: 256

id   name                      type            weight maxLvl class
---- ------------------------- --------------- ------ ------ -----
0    enchantment.protect.all   armor           10     4      net.minecraft.enchantment.EnchantmentProtection
1    enchantment.protect.fire  armor           5      4      net.minecraft.enchantment.EnchantmentProtection
2    enchantment.protect.fall  armor_feet      5      4      net.minecraft.enchantment.EnchantmentProtection
3    enchantment.protect.explosion armor           2      4      net.minecraft.enchantment.EnchantmentProtection
4    enchantment.protect.projectile armor           5      4      net.minecraft.enchantment.EnchantmentProtection
5    enchantment.oxygen        armor_head      2      3      net.minecraft.enchantment.EnchantmentOxygen
6    enchantment.waterWorker   armor_head      2      1      net.minecraft.enchantment.EnchantmentWaterWorker
7    enchantment.thorns        armor_torso     1      3      net.minecraft.enchantment.EnchantmentThorns
16   enchantment.damage.all    weapon          10     5      net.minecraft.enchantment.EnchantmentDamage
17   enchantment.damage.undead weapon          5      5      net.minecraft.enchantment.EnchantmentDamage
18   enchantment.damage.arthropods weapon          5      5      net.minecraft.enchantment.EnchantmentDamage
19   enchantment.knockback     weapon          5      2      net.minecraft.enchantment.EnchantmentKnockback
20   enchantment.fire          weapon          2      2      net.minecraft.enchantment.EnchantmentFireAspect
21   enchantment.lootBonus     weapon          2      3      net.minecraft.enchantment.EnchantmentLootBonus
32   enchantment.digging       digger          10     5      net.minecraft.enchantment.EnchantmentDigging
33   enchantment.untouching    digger          1      1      net.minecraft.enchantment.EnchantmentUntouching
34   enchantment.durability    breakable       5      3      net.minecraft.enchantment.EnchantmentDurability
35   enchantment.lootBonusDigger digger          2      3      net.minecraft.enchantment.EnchantmentLootBonus
48   enchantment.arrowDamage   bow             10     5      net.minecraft.enchantment.EnchantmentArrowDamage
49   enchantment.arrowKnockback bow             2      2      net.minecraft.enchantment.EnchantmentArrowKnockback
50   enchantment.arrowFire     bow             2      1      net.minecraft.enchantment.EnchantmentArrowFire
51   enchantment.arrowInfinite bow             1      1      net.minecraft.enchantment.EnchantmentArrowInfinite
52   enchantment.soul_stealer  weapon          8      5      com.whammich.sstow.enchantment.EnchantmentSoulStealer
61   enchantment.lootBonusFishing fishing_rod     2      3      net.minecraft.enchantment.EnchantmentLootBonus
62   enchantment.fishingSpeed  fishing_rod     2      3      net.minecraft.enchantment.EnchantmentFishingSpeed
64   enchantment.damageBoost.decay weapon          5      5      tragicneko.tragicmc.enchantment.EnchantmentDamageBoost
65   enchantment.damageBoost.slay weapon          5      5      tragicneko.tragicmc.enchantment.EnchantmentDamageBoost
66   enchantment.damageBoost.absolve weapon          5      5      tragicneko.tragicmc.enchantment.EnchantmentDamageBoost
67   enchantment.weaponExtra.vampirism weapon          1      3      tragicneko.tragicmc.enchantment.EnchantmentWeaponExtra
68   enchantment.weaponExtra.leech weapon          1      3      tragicneko.tragicmc.enchantment.EnchantmentWeaponExtra
69   enchantment.weaponExtra.consume weapon          1      3      tragicneko.tragicmc.enchantment.EnchantmentWeaponExtra
70   enchantment.weaponExtra.distract weapon          1      3      tragicneko.tragicmc.enchantment.EnchantmentWeaponExtra
71   enchantment.multiply      bow             1      1      tragicneko.tragicmc.enchantment.EnchantmentMultiply
72   enchantment.combustion    digger          1      1      tragicneko.tragicmc.enchantment.EnchantmentCombustion
73   enchantment.damageBoost.runeBreak weapon          5      5      tragicneko.tragicmc.enchantment.EnchantmentDamageBoost
74   enchantment.reach         weapon          5      5      tragicneko.tragicmc.enchantment.EnchantmentRange
75   enchantment.unbreakable   breakable       1      1      tragicneko.tragicmc.enchantment.EnchantmentUnbreakable
76   enchantment.weaponExtra.rust weapon          1      3      tragicneko.tragicmc.enchantment.EnchantmentWeaponExtra
77   enchantment.veteran       digger          1      3      tragicneko.tragicmc.enchantment.EnchantmentVeteran
78   enchantment.armorExtra.deathTouch armor           2      3      tragicneko.tragicmc.enchantment.EnchantmentArmorExtra
79   enchantment.armorExtra.ignition armor           2      3      tragicneko.tragicmc.enchantment.EnchantmentArmorExtra
80   enchantment.armorExtra.toxicity armor           2      3      tragicneko.tragicmc.enchantment.EnchantmentArmorExtra
81   enchantment.armorExtra.paralysis armor           2      3      tragicneko.tragicmc.enchantment.EnchantmentArmorExtra
82   enchantment.armorExtra.elasticity armor           4      3      tragicneko.tragicmc.enchantment.EnchantmentArmorExtra
83   enchantment.agility       armor           1      4      tragicneko.tragicmc.enchantment.EnchantmentAgility
84   enchantment.runeWalker    armor           2      5      tragicneko.tragicmc.enchantment.EnchantmentRuneWalker
85   enchantment.luminescence  all             1      1      tragicneko.tragicmc.enchantment.EnchantmentLuminescence
100  enchantment.damage        customnpcs_enchants 10     5      noppes.npcs.enchants.EnchantDamage
101  enchantment.poison        customnpcs_enchants 6      2      noppes.npcs.enchants.EnchantPoison
102  enchantment.confusion     customnpcs_enchants 3      2      noppes.npcs.enchants.EnchantConfusion
103  enchantment.infinite      customnpcs_enchants 3      1      noppes.npcs.enchants.EnchantInfinite
125  enchantment.bash.weightless all             5      3      mods.battlegear2.enchantments.BaseEnchantment
126  enchantment.bash.power    all             10     5      mods.battlegear2.enchantments.BaseEnchantment
127  enchantment.bash.damage   all             1      3      mods.battlegear2.enchantments.BaseEnchantment
128  enchantment.shield.usage  all             2      5      mods.battlegear2.enchantments.BaseEnchantment
129  enchantment.shield.recover all             3      4      mods.battlegear2.enchantments.BaseEnchantment
130  enchantment.bow.loot      bow             2      1      mods.battlegear2.enchantments.BaseEnchantment
131  enchantment.bow.charge    bow             1      1      mods.battlegear2.enchantments.BaseEnchantment
132  enchantment.qf.executioner weapon          1      3      com.questforge.content.ench.enchants.EnchantExecutioner
133  enchantment.qf.berserk    weapon          1      3      com.questforge.content.ench.enchants.EnchantBerserk
134  enchantment.qf.frostbite  weapon          1      3      com.questforge.content.ench.enchants.EnchantFrostbite
135  enchantment.qf.magnetize  digger          1      1      com.questforge.content.ench.enchants.EnchantMagnetize
136  enchantment.qf.nightsight armor_head      1      1      com.questforge.content.ench.enchants.EnchantNightsight
137  enchantment.qf.multistrike all             1      1      com.questforge.content.ench.enchants.EnchantMultiStrike
138  enchantment.qf.colossus   weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Colossus
139  enchantment.qf.feast      weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Feast
140  enchantment.qf.poisonous  weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Poisonous
141  enchantment.qf.venomous   weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Venomous
142  enchantment.qf.blind      weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Blind
143  enchantment.qf.suplex     weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Suplex
144  enchantment.qf.daze       weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Daze
145  enchantment.qf.roulette   weapon          1      1      com.questforge.content.ench.enchants.CombatEnchants$Roulette
146  enchantment.qf.cultist    weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Cultist
147  enchantment.qf.killingblow weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$KillingBlow
148  enchantment.qf.momentum   weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Momentum
149  enchantment.qf.riposte    weapon          1      3      com.questforge.content.ench.enchants.CombatEnchants$Riposte
150  enchantment.qf.rupture    weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Rupture
151  enchantment.qf.arc        weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Arc
152  enchantment.qf.disarm     weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Disarm
153  enchantment.qf.assassinate weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Assassinate
154  enchantment.qf.sunder     weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Sunder
155  enchantment.qf.rage       weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Rage
156  enchantment.qf.cripple    weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Cripple
157  enchantment.qf.accelerant weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Accelerant
158  enchantment.qf.lich       weapon          1      3      com.questforge.content.ench.enchants.WeaponEnchants2$Lich
159  enchantment.qf.excalibur  weapon          1      1      com.questforge.content.ench.enchants.WeaponEnchants2$Excalibur
160  enchantment.qf.demonforged all             1      1      com.questforge.content.ench.enchants.WeaponEnchants2$DemonForged
